fecha_jornada;jornada;partido;equipo_local;marcador_local;equipo_visitante;marcador_visitante;resultado
miércoles 31 de octubre de 2018;17;6;Almería;3;Villarreal;3;X
miércoles 31 de octubre de 2018;17;8;Sporting de Gijón;2;Eibar;0;1
miércoles 31 de octubre de 2018;17;7;Cádiz;2;Espanyol;1;1
miércoles 31 de octubre de 2018;17;9;Lugo;1;Levante;1;X
miércoles 31 de octubre de 2018;17;10;Córdoba;1;Getafe;2;2
miércoles 31 de octubre de 2018;17;13;Leganés;2;Rayo Vallecano;2;X
miércoles 31 de octubre de 2018;17;11;Ebro;1;Valencia;2;2
miércoles 31 de octubre de 2018;17;14;Celta;1;Real Sociedad;1;X
domingo 26 de agosto de 2018;2;1;Alavés;0;Betis;0;X
miércoles 31 de octubre de 2018;17;15;Melilla;0;Real Madrid;4;0M
miércoles 31 de octubre de 2018;17;12;Alavés;2;Girona;2;X
domingo 26 de agosto de 2018;2;2;Valladolid;0;Barcelona;1;2
domingo 26 de agosto de 2018;2;4;Sevilla;0;Villarreal;0;X
domingo 26 de agosto de 2018;2;3;Espanyol;2;Valencia;0;1
domingo 26 de agosto de 2018;2;5;Girona;1;Real Madrid;4;2
domingo 26 de agosto de 2018;2;7;Athletic de Bilbao;2;Huesca;2;X
domingo 26 de agosto de 2018;2;8;Reus Deport.;0;R. Zaragoza;0;X
domingo 26 de agosto de 2018;2;10;Las Palmas;1;Albacete;1;X
domingo 26 de agosto de 2018;2;9;Numancia;1;Cádiz;1;X
domingo 26 de agosto de 2018;2;11;Córdoba;2;R. Oviedo;4;2
domingo 26 de agosto de 2018;2;12;Sporting de Gijón;2;C. Gimnastic;0;1
domingo 26 de agosto de 2018;2;6;Levante;1;Celta;2;2
domingo 26 de agosto de 2018;2;14;Almería;1;Tenerife;1;X
domingo 26 de agosto de 2018;2;15;Atlético de Madrid;1;Rayo Vallecano;0;10
miércoles 26 de septiembre de 2018;8;1;Espanyol;1;Eibar;0;1
miércoles 26 de septiembre de 2018;8;2;Real Sociedad;2;Rayo Vallecano;2;X
miércoles 26 de septiembre de 2018;8;4;Athletic de Bilbao;0;Villarreal;3;2
miércoles 26 de septiembre de 2018;8;3;Atlético de Madrid;3;Huesca;0;1
miércoles 26 de septiembre de 2018;8;5;Leganés;2;Barcelona;1;1
miércoles 26 de septiembre de 2018;8;6;Sevilla;3;Real Madrid;0;1
miércoles 26 de septiembre de 2018;8;7;Valencia;1;Celta;1;X
domingo 26 de agosto de 2018;2;13;Granada;1;Lugo;1;X
miércoles 26 de septiembre de 2018;8;9;Valladolid;2;Levante;1;1
miércoles 26 de septiembre de 2018;8;10;Girona;0;Betis;1;2
miércoles 26 de septiembre de 2018;8;11;Friburgo;1;Schalke;0;1
miércoles 26 de septiembre de 2018;8;12;F. Dusseldorf;1;Bayer Leverkusen;2;2
miércoles 26 de septiembre de 2018;8;8;Alavés;1;Getafe;1;X
miércoles 26 de septiembre de 2018;8;14;Leipzig;2;Stuttgart;0;1
miércoles 26 de septiembre de 2018;8;13;B. Dortmund;7;Nuremberg;0;1
domingo 23 de septiembre de 2018;7;1;Rayo Vallecano;1;Alavés;5;2
miércoles 26 de septiembre de 2018;8;15;Bayern M.;1;Augsburgo;1;11
domingo 23 de septiembre de 2018;7;3;Eibar;1;Leganés;0;1
domingo 23 de septiembre de 2018;7;2;Celta;3;Valladolid;3;X
domingo 23 de septiembre de 2018;7;5;Real Madrid;1;Espanyol;0;1
domingo 23 de septiembre de 2018;7;6;Levante;2;Sevilla;6;2
domingo 23 de septiembre de 2018;7;7;Villarreal;0;Valencia;0;X
domingo 23 de septiembre de 2018;7;8;Betis;2;Athletic de Bilbao;2;X
domingo 23 de septiembre de 2018;7;10;R. Oviedo;1;Elche;1;X
domingo 23 de septiembre de 2018;7;9;Mallorca;1;Albacete;3;2
domingo 23 de septiembre de 2018;7;11;Las Palmas;1;Málaga;0;1
domingo 23 de septiembre de 2018;7;12;Reus Deport.;1;C. Gimnastic;1;X
domingo 23 de septiembre de 2018;7;4;Getafe;0;Atlético de Madrid;2;2
domingo 23 de septiembre de 2018;7;13;Numancia;0;Almería;2;2
domingo 23 de septiembre de 2018;7;15;Barcelona;2;Girona;2;22
miércoles 19 de septiembre de 2018;6;1;Inter;2;Tottenham;1;1
miércoles 19 de septiembre de 2018;6;2;Club Brugge;0;B. Dortmund;1;2
miércoles 19 de septiembre de 2018;6;3;Mónaco;1;Atlético de Madrid;2;2
miércoles 19 de septiembre de 2018;6;4;Estrella Roja;0;Nápoles;0;X
miércoles 19 de septiembre de 2018;6;6;Schalke;1;Porto;1;X
miércoles 19 de septiembre de 2018;6;5;Liverpool;3;PSG;2;1
miércoles 19 de septiembre de 2018;6;8;Shakhtar;2;Hoffenheim;2;X
miércoles 19 de septiembre de 2018;6;7;Ajax;3;AEK Atenas;0;1
miércoles 19 de septiembre de 2018;6;10;Manchester City;1;Lyon;2;2
miércoles 19 de septiembre de 2018;6;9;Benfica;0;Bayern M.;2;2
miércoles 19 de septiembre de 2018;6;11;Real Madrid;3;Roma;0;1
miércoles 19 de septiembre de 2018;6;12;Viktoria Plzen;2;CSKA Moscú;2;X
miércoles 19 de septiembre de 2018;6;13;Valencia;0;Juventus;2;2
miércoles 19 de septiembre de 2018;6;14;Young Boys;0;Manchester U.;3;2
miércoles 19 de septiembre de 2018;6;15;Barcelona;4;PSV;0;M0
domingo 30 de septiembre de 2018;9;3;Real Madrid;0;Atlético de Madrid;0;X
domingo 30 de septiembre de 2018;9;4;Huesca;1;Girona;1;X
domingo 30 de septiembre de 2018;9;2;Eibar;1;Sevilla;3;2
domingo 30 de septiembre de 2018;9;5;Villarreal;0;Valladolid;1;2
domingo 30 de septiembre de 2018;9;1;Real Sociedad;0;Valencia;1;2
domingo 30 de septiembre de 2018;9;6;Levante;2;Alavés;1;1
domingo 23 de septiembre de 2018;7;14;Cádiz;0;Alcorcón;2;2
domingo 30 de septiembre de 2018;9;7;Betis;1;Leganés;0;1
domingo 30 de septiembre de 2018;9;8;Granada;4;Córdoba;2;1
domingo 30 de septiembre de 2018;9;9;Sporting de Gijón;1;Las Palmas;0;1
domingo 30 de septiembre de 2018;9;11;Alcorcón;2;R. Oviedo;0;1
domingo 30 de septiembre de 2018;9;12;Almería;2;Reus Deport.;0;1
domingo 30 de septiembre de 2018;9;10;Tenerife;1;Cádiz;0;1
domingo 30 de septiembre de 2018;9;13;Extremadura;2;Elche;2;X
domingo 30 de septiembre de 2018;9;14;C. Gimnastic;1;Deportivo;3;2
domingo 30 de septiembre de 2018;9;15;Barcelona;1;Athletic de Bilbao;1;11
domingo 9 de septiembre de 2018;4;4;Numancia;1;Elche;0;1
domingo 9 de septiembre de 2018;4;2;R. Oviedo;0;R. Zaragoza;4;2
domingo 9 de septiembre de 2018;4;5;Extremadura;1;Granada;3;2
domingo 9 de septiembre de 2018;4;7;Deportivo;1;Sporting de Gijón;0;1
domingo 9 de septiembre de 2018;4;1;Osasuna;3;Almería;1;1
domingo 9 de septiembre de 2018;4;3;Reus Deport.;1;Albacete;2;2
domingo 9 de septiembre de 2018;4;6;Córdoba;0;Alcorcón;0;X
domingo 9 de septiembre de 2018;4;9;Burgos;0;Salmantino;0;X
domingo 9 de septiembre de 2018;4;10;Durango;1;Mirandés;4;2
domingo 9 de septiembre de 2018;4;11;Racing Ferrol;4;Athletic de Bilbao;0;1
domingo 9 de septiembre de 2018;4;8;Ponferradina;1;Guijuelo;0;1
domingo 9 de septiembre de 2018;4;15;Málaga;1;Tenerife;0;10
domingo 9 de septiembre de 2018;4;14;Recreativo;0;Cartagena;0;X
domingo 7 de octubre de 2018;11;1;Girona;2;Eibar;3;2
domingo 9 de septiembre de 2018;4;13;CD Badajoz;NaN;Ucam Murcia;NaN;X
domingo 7 de octubre de 2018;11;2;Getafe;0;Levante;1;2
domingo 7 de octubre de 2018;11;3;Leganés;1;Rayo Vallecano;0;1
domingo 9 de septiembre de 2018;4;12;Badalona;0;Teruel;0;X
domingo 7 de octubre de 2018;11;6;Sevilla;2;Celta;1;1
domingo 7 de octubre de 2018;11;4;Valladolid;1;Huesca;0;1
domingo 7 de octubre de 2018;11;7;Espanyol;3;Villarreal;1;1
domingo 7 de octubre de 2018;11;9;Córdoba;1;Almería;0;1
domingo 7 de octubre de 2018;11;8;Valencia;1;Barcelona;1;X
domingo 7 de octubre de 2018;11;10;Las Palmas;0;Alcorcón;0;X
domingo 7 de octubre de 2018;11;13;Deportivo;1;Málaga;1;X
domingo 7 de octubre de 2018;11;12;Elche;2;Lugo;1;1
domingo 7 de octubre de 2018;11;5;Atlético de Madrid;1;Betis;0;1
domingo 7 de octubre de 2018;11;14;Cádiz;1;C. Gimnastic;1;X
domingo 7 de octubre de 2018;11;15;Alavés;1;Real Madrid;0;10
miércoles 3 de octubre de 2018;10;1;Hoffenheim;1;Manchester City;2;2
miércoles 3 de octubre de 2018;10;2;Juventus;3;Young Boys;0;1
domingo 7 de octubre de 2018;11;11;R. Oviedo;1;Albacete;0;1
miércoles 3 de octubre de 2018;10;3;AEK Atenas;2;Benfica;3;2
miércoles 3 de octubre de 2018;10;5;Lyon;2;Shakhtar Soligorsk;2;X
miércoles 3 de octubre de 2018;10;7;CSKA Moscú;1;Real Madrid;0;1
miércoles 3 de octubre de 2018;10;6;Roma;5;Viktoria Plzen;0;1
miércoles 3 de octubre de 2018;10;4;Bayern M.;1;Ajax;1;X
miércoles 3 de octubre de 2018;10;9;B. Dortmund;3;Mónaco;0;1
miércoles 3 de octubre de 2018;10;10;Atlético de Madrid;3;Club Brugge;1;1
miércoles 3 de octubre de 2018;10;12;Tottenham;2;Barcelona;4;2
miércoles 3 de octubre de 2018;10;8;Manchester City;0;Valencia;0;X
miércoles 3 de octubre de 2018;10;13;Nápoles;1;Liverpool;0;1
miércoles 3 de octubre de 2018;10;15;PSG;6;Estrella Roja;1;M1
domingo 14 de octubre de 2018;12;1;Osasuna;3;Córdoba;1;1
miércoles 3 de octubre de 2018;10;14;Porto;1;Galatasaray;0;1
domingo 14 de octubre de 2018;12;3;Numancia;1;R. Zaragoza;0;1
domingo 14 de octubre de 2018;12;2;Almería;3;Las Palmas;0;1
domingo 14 de octubre de 2018;12;4;Tenerife;0;Lugo;0;X
domingo 14 de octubre de 2018;12;6;C. Gimnastic;1;Alcorcón;3;2
domingo 14 de octubre de 2018;12;5;Rayo Majadahonda;1;R. Oviedo;0;1
domingo 14 de octubre de 2018;12;8;Noruega;1;Eslovenia;0;1
domingo 14 de octubre de 2018;12;9;Bulgaria;2;Chipre;1;1
domingo 14 de octubre de 2018;12;10;Holanda;3;Alemania;0;1
